Player,Nation,Pos,Age,90s,Shot Creating Actions,SCA90,Goal Creating Actions,GCA90
İlkay Gündoğan,GER,MF,32,33.3,166,4.99,13,0.39
Jules Koundé,FRA,DF,24,32.2,62,1.92,9,0.28
Robert Lewandowski,POL,FW,34,30.6,63,2.06,12,0.39
João Cancelo,POR,DF,29,27.8,79,2.84,8,0.29
Marc-André ter Stegen,GER,GK,31,28,8,0.29,2,0.07
Andreas Christensen,DEN,"DF,MF",27,22,28,1.27,3,0.14
Lamine Yamal,ESP,FW,16,24.5,108,4.41,18,0.74
Ronald Araújo,URU,DF,24,22.2,22,0.99,4,0.18
Frenkie de Jong,NED,MF,26,18.2,60,3.3,9,0.5
Pau Cubarsí,ESP,DF,16,17.3,17,0.98,1,0.06
João Félix,POR,FW,23,17.1,62,3.62,9,0.53
Raphinha,BRA,"FW,MF",26,15.2,89,5.86,13,0.86
Pedri,ESP,"MF,FW",20,16.4,69,4.21,6,0.37
Alejandro Balde,ESP,DF,19,15.3,29,1.9,4,0.26
Fermin López,ESP,"MF,FW",20,16.1,42,2.61,0,0
Iñigo Martínez,ESP,DF,32,14.4,14,0.97,3,0.21
Ferrán Torres,ESP,FW,23,13.5,53,3.94,9,0.67
Oriol Romeu,ESP,MF,31,10.4,17,1.63,2,0.19
Gavi,ESP,"MF,FW",18,10.5,27,2.57,3,0.29
Iñaki Peña,ESP,GK,24,10,0,0,0,0
Sergi Roberto,ESP,"MF,DF",31,9.6,24,2.51,3,0.31
Héctor Fort,ESP,DF,16,3.5,5,1.41,3,0.85
Marcos Alonso,ESP,DF,32,2.8,8,2.86,1,0.36
Vitor Roque,BRA,FW,18,3.6,4,1.1,1,0.27
Marc Guiu,ESP,"FW,MF",17,0.8,2,2.43,0,0
Abde Ezzalzouli,MAR,"FW,MF",21,0.8,2,2.65,0,0
Eric García,ESP,DF,22,0.6,1,1.58,0,0
Ansu Fati,ESP,"MF,FW",20,0.6,1,1.8,0,0
Marc Casado,ESP,MF,19,0.2,1,6,0,0
Squad Total,,,26,38,1063,27.97,136,3.58
Opponent Total,,,26.9,38,723,19.03,81,2.13
