Player,Nation,Pos,Age,90s,Passes Attempted,Live Ball,Dead Ball,FK,Through Balls,Switches,Crosses,Throw-Ins,Corner Kicks,Passes Completed,Passes Offside,Passes Blocked
İlkay Gündoğan,GER,MF,32,33.3,2510,2228,271,96,16,17,157,5,140,2163,11,29
Jules Koundé,FRA,DF,24,32.2,2757,2482,267,61,2,29,34,198,0,2478,8,29
Robert Lewandowski,POL,FW,34,30.6,592,569,16,2,9,5,18,1,0,416,7,23
João Cancelo,POR,DF,29,27.8,1852,1602,238,37,6,24,82,201,0,1533,12,42
Marc-André ter Stegen,GER,GK,31,28,1036,818,216,53,0,1,0,0,0,927,2,2
Andreas Christensen,DEN,"DF,MF",27,22,1569,1514,55,41,0,5,0,5,0,1480,0,11
Lamine Yamal,ESP,FW,16,24.5,1132,1091,36,4,6,6,87,14,18,903,5,22
Ronald Araújo,URU,DF,24,22.2,1641,1540,93,45,3,14,8,37,0,1458,8,6
Frenkie de Jong,NED,MF,26,18.2,1674,1619,51,42,12,7,25,6,1,1542,4,14
Pau Cubarsí,ESP,DF,16,17.3,1487,1441,43,32,2,11,1,3,0,1360,3,6
João Félix,POR,FW,23,17.1,663,631,25,5,8,7,17,12,8,538,7,13
Raphinha,BRA,"FW,MF",26,15.2,693,600,88,18,6,11,82,19,50,522,5,16
Pedri,ESP,"MF,FW",20,16.4,1189,1138,44,23,11,5,9,8,3,1035,7,23
Alejandro Balde,ESP,DF,19,15.3,817,694,122,12,1,3,37,110,0,694,1,16
Fermin López,ESP,"MF,FW",20,16.1,631,614,12,1,3,10,17,3,0,522,5,20
Iñigo Martínez,ESP,DF,32,14.4,1132,1092,37,22,3,22,3,8,0,1001,3,4
Ferrán Torres,ESP,FW,23,13.5,450,422,22,1,3,3,21,4,10,351,6,18
Oriol Romeu,ESP,MF,31,10.4,806,793,13,12,4,7,6,1,0,717,0,9
Gavi,ESP,"MF,FW",18,10.5,541,514,26,18,3,6,8,6,0,489,1,8
Iñaki Peña,ESP,GK,24,10,297,230,67,19,0,0,0,0,0,259,0,0
Sergi Roberto,ESP,"MF,DF",31,9.6,654,621,30,11,0,0,9,11,0,582,3,10
Héctor Fort,ESP,DF,16,3.5,230,203,27,6,0,2,6,21,0,200,0,2
Marcos Alonso,ESP,DF,32,2.8,214,171,43,10,0,3,15,27,6,180,0,5
Vitor Roque,BRA,FW,18,3.6,67,65,1,0,0,0,2,0,0,49,1,6
Marc Guiu,ESP,"FW,MF",17,0.8,8,8,0,0,0,0,0,0,0,8,0,0
Abde Ezzalzouli,MAR,"FW,MF",21,0.8,37,32,5,0,0,0,7,4,1,23,0,1
Eric García,ESP,DF,22,0.6,48,42,6,2,0,2,0,4,0,46,0,0
Ansu Fati,ESP,"MF,FW",20,0.6,28,25,3,1,0,0,0,1,1,24,0,0
Marc Casado,ESP,MF,19,0.2,6,6,0,0,0,0,0,0,0,6,0,0
Squad Total,,,26,38,24761,22805,1857,574,98,200,651,709,238,21506,99,335
Opponent Total,,,26.9,38,13768,12007,1644,489,47,120,574,562,148,10455,117,302
