Player,90s,Pos,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Attempted Take-ons,Success,Tackled,Carries,Total Dist,Progressive Carrying Dist,Progressive Carries,Final Third,Penalty Area,Miscontrols,Dispossessed
İlkay Gündoğan,33.3,MF,2733,42,376,1538,841,77,61,34,19,1608,8881,4365,71,88,9,38,28
Jules Koundé,32.2,DF,3041,157,903,1701,462,44,38,16,17,1910,9350,5961,67,67,2,25,12
Robert Lewandowski,30.6,FW,900,24,47,361,502,165,54,23,30,529,2549,1019,43,28,20,86,28
João Cancelo,27.8,DF,2206,84,452,1110,670,71,111,61,38,1250,7317,3916,106,58,39,55,25
Marc-André ter Stegen,28,GK,1080,816,1068,13,0,0,0,0,0,695,3459,2503,0,0,0,1,0
Andreas Christensen,22,"DF,MF",1723,111,549,1077,104,18,6,3,3,1101,5001,2934,24,18,1,6,9
Lamine Yamal,24.5,FW,1475,14,118,460,923,147,160,70,58,1023,6622,3889,123,78,57,54,26
Ronald Araújo,22.2,DF,1811,157,732,1000,92,34,11,8,2,1177,6282,3750,24,14,2,14,4
Frenkie de Jong,18.2,MF,1840,69,359,1139,355,18,24,13,8,1207,7284,4346,69,52,3,14,17
Pau Cubarsí,17.3,DF,1629,157,758,826,46,5,4,3,1,1076,5220,2658,8,7,0,4,3
João Félix,17.1,FW,929,15,91,351,495,104,89,29,51,613,3648,1930,69,53,31,43,32
Raphinha,15.2,"FW,MF",894,11,80,338,484,81,46,24,19,495,2884,1418,49,22,23,41,8
Pedri,16.4,"MF,FW",1359,22,171,773,427,36,38,16,20,823,4535,2333,41,42,7,31,15
Alejandro Balde,15.3,DF,979,35,215,394,384,40,53,20,20,567,3770,2213,73,36,20,32,16
Fermin López,16.1,"MF,FW",841,11,95,418,335,69,38,22,12,486,2639,1446,42,28,10,51,25
Iñigo Martínez,14.4,DF,1241,91,456,729,63,13,1,0,1,833,4930,3438,33,22,1,3,0
Ferrán Torres,13.5,FW,583,6,42,237,309,56,24,10,11,338,1744,789,30,21,15,35,13
Oriol Romeu,10.4,MF,922,27,148,615,161,4,5,4,1,539,2322,1245,12,25,0,9,8
Gavi,10.5,"MF,FW",678,27,108,394,181,18,22,12,8,424,2231,1170,26,24,3,19,11
Iñaki Peña,10,GK,314,279,313,1,0,0,0,0,0,187,792,437,0,0,0,0,0
Sergi Roberto,9.6,"MF,DF",737,10,112,448,179,28,6,3,1,395,2125,1028,13,18,4,22,7
Héctor Fort,3.5,DF,250,10,72,118,60,3,7,3,4,144,572,197,3,3,0,1,2
Marcos Alonso,2.8,DF,246,7,59,100,89,7,6,3,2,141,766,388,11,10,2,2,3
Vitor Roque,3.6,FW,126,5,11,43,74,22,15,4,9,82,573,334,12,6,6,11,8
Marc Guiu,0.8,"FW,MF",20,0,0,10,10,4,0,0,0,13,47,13,1,1,1,3,2
Abde Ezzalzouli,0.8,"FW,MF",54,0,2,13,39,7,4,2,2,41,302,143,7,3,4,4,2
Eric García,0.6,DF,53,2,18,33,2,1,0,0,0,34,171,114,0,0,0,0,0
Ansu Fati,0.6,"MF,FW",42,0,1,16,25,5,3,1,1,32,266,157,6,4,2,1,1
Marc Casado,0.2,MF,11,2,4,6,1,0,0,0,0,5,29,14,1,0,0,0,0
