Player,Nation,Pos,Age,90s,Goals,Shots,Shots on Target,G/Sh,G/SoT,Dist,Shots from FK,PK scored,PK attempted,xG,non-pen xG
İlkay Gündoğan,GER,MF,32,33.3,5,41,15,0.1,0.27,17.8,5,1,2,7.3,5.7
Jules Koundé,FRA,DF,24,32.2,1,24,6,0.04,0.17,15.3,0,0,0,2,2
Robert Lewandowski,POL,FW,34,30.6,19,90,37,0.17,0.41,13.9,3,4,4,18.1,15
João Cancelo,POR,DF,29,27.8,2,32,9,0.06,0.22,21.3,0,0,0,1.6,1.6
Marc-André ter Stegen,GER,GK,31,28,0,0,0,,,,0,0,0,0,0
Andreas Christensen,DEN,"DF,MF",27,22,2,12,4,0.17,0.5,13,0,0,0,1,1
Lamine Yamal,ESP,FW,16,24.5,5,58,21,0.09,0.24,17.5,0,0,0,5.2,5.2
Ronald Araújo,URU,DF,24,22.2,1,23,9,0.04,0.11,12.4,0,0,0,2.1,2.1
Frenkie de Jong,NED,MF,26,18.2,2,7,4,0.29,0.5,20.4,0,0,0,0.7,0.7
Pau Cubarsí,ESP,DF,16,17.3,0,3,0,0,,18.4,0,0,0,0.1,0.1
João Félix,POR,FW,23,17.1,7,61,25,0.11,0.28,15.8,1,0,0,8.7,8.7
Raphinha,BRA,"FW,MF",26,15.2,6,58,20,0.09,0.25,19.8,10,1,1,7.4,6.6
Pedri,ESP,"MF,FW",20,16.4,4,15,7,0.27,0.57,14.5,0,0,0,3.1,3.1
Alejandro Balde,ESP,DF,19,15.3,0,5,1,0,0,21.2,0,0,0,0.1,0.1
Fermin López,ESP,"MF,FW",20,16.1,8,51,24,0.16,0.33,15.9,0,0,0,7.5,7.5
Iñigo Martínez,ESP,DF,32,14.4,0,8,1,0,0,11.6,0,0,0,0.4,0.4
Ferrán Torres,ESP,FW,23,13.5,7,38,15,0.18,0.47,16.6,2,0,0,5.5,5.5
Oriol Romeu,ESP,MF,31,10.4,0,10,2,0,0,23.6,0,0,0,0.7,0.7
Gavi,ESP,"MF,FW",18,10.5,1,9,4,0.11,0.25,15.2,0,0,0,0.9,0.9
Iñaki Peña,ESP,GK,24,10,0,0,0,,,,0,0,0,0,0
Sergi Roberto,ESP,"MF,DF",31,9.6,3,10,4,0.3,0.75,12.5,0,0,0,1.7,1.7
Héctor Fort,ESP,DF,16,3.5,0,1,0,0,,27.2,0,0,0,0,0
Marcos Alonso,ESP,DF,32,2.8,0,3,2,0,0,20.8,0,0,0,0.1,0.1
Vitor Roque,BRA,FW,18,3.6,2,13,6,0.15,0.33,13.7,0,0,0,2.5,2.5
Marc Guiu,ESP,"FW,MF",17,0.8,1,4,1,0.25,1,12.1,0,0,0,0.8,0.8
Abde Ezzalzouli,MAR,"FW,MF",21,0.8,0,4,1,0,0,19.1,0,0,0,0.2,0.2
Eric García,ESP,DF,22,0.6,0,1,0,0,,11,0,0,0,0,0
Ansu Fati,ESP,"MF,FW",20,0.6,0,7,1,0,0,18.6,0,0,0,0.7,0.7
Marc Casado,ESP,MF,19,0.2,0,0,0,,,,0,0,0,0,0
